Year,Units,stages of the food chain,Value
2019,1 000 Tonnen,,
2020,1 000 Tonnen,,9119.0
2021,1 000 Tonnen,,
2019,1 000 Tonnen,restaurants and food services,
2020,1 000 Tonnen,restaurants and food services,1861.0
2021,1 000 Tonnen,restaurants and food services,
2019,1 000 Tonnen,Private Haushalte,
2020,1 000 Tonnen,Private Haushalte,6496.0
2021,1 000 Tonnen,Private Haushalte,
2019,1 000 Tonnen,retail and other distribution of food,
2020,1 000 Tonnen,retail and other distribution of food,762.0
2021,1 000 Tonnen,retail and other distribution of food,
2019,Kilogramm pro Kopf,,
2020,Kilogramm pro Kopf,,109.0
2021,Kilogramm pro Kopf,,
2019,Kilogramm pro Kopf,Private Haushalte,
2020,Kilogramm pro Kopf,Private Haushalte,78.0
2021,Kilogramm pro Kopf,Private Haushalte,
2019,Kilogramm pro Kopf,retail and other distribution of food,
2020,Kilogramm pro Kopf,retail and other distribution of food,9.0
2021,Kilogramm pro Kopf,retail and other distribution of food,
2019,Kilogramm pro Kopf,restaurants and food services,
2020,Kilogramm pro Kopf,restaurants and food services,22.0
2021,Kilogramm pro Kopf,restaurants and food services,
