Year,Value,Series
2010,1.1,Verhältnis von Frauen im öffentlichen Dienst
2011,1.08,Verhältnis von Frauen im öffentlichen Dienst
2012,1.09,Verhältnis von Frauen im öffentlichen Dienst
2013,1.1,Verhältnis von Frauen im öffentlichen Dienst
2014,1.1,Verhältnis von Frauen im öffentlichen Dienst
2015,1.11,Verhältnis von Frauen im öffentlichen Dienst
2016,1.12,Verhältnis von Frauen im öffentlichen Dienst
2017,1.13,Verhältnis von Frauen im öffentlichen Dienst
2018,1.14,Verhältnis von Frauen im öffentlichen Dienst
2019,1.14,Verhältnis von Frauen im öffentlichen Dienst
2010,0.84,Verhältnis von Frauen in der Justiz
2011,0.85,Verhältnis von Frauen in der Justiz
2012,0.87,Verhältnis von Frauen in der Justiz
2013,0.88,Verhältnis von Frauen in der Justiz
2014,0.89,Verhältnis von Frauen in der Justiz
2015,0.93,Verhältnis von Frauen in der Justiz
2016,0.95,Verhältnis von Frauen in der Justiz
2017,0.97,Verhältnis von Frauen in der Justiz
2018,0.98,Verhältnis von Frauen in der Justiz
2019,1.0,Verhältnis von Frauen in der Justiz
