Year,Units,Time series,Value
2010,Million EUR,commitments (oda),0.0
2011,Million EUR,commitments (oda),0.0
2012,Million EUR,commitments (oda),0.0
2013,Million EUR,commitments (oda),0.0
2014,Million EUR,commitments (oda),0.0
2015,Million EUR,commitments (oda),0.0
2016,Million EUR,commitments (oda),9.0
2017,Million EUR,commitments (oda),0.0
2018,Million EUR,commitments (oda),0.0
2019,Million EUR,commitments (oda),3.3
2020,Million EUR,commitments (oda),26.5
2021,Million EUR,commitments (oda),25.46
2010,"Million USD, constant prices (2021)",commitments (oda),0.0
2011,"Million USD, constant prices (2021)",commitments (oda),0.0
2012,"Million USD, constant prices (2021)",commitments (oda),0.0
2013,"Million USD, constant prices (2021)",commitments (oda),0.0
2014,"Million USD, constant prices (2021)",commitments (oda),0.0
2015,"Million USD, constant prices (2021)",commitments (oda),0.0
2016,"Million USD, constant prices (2021)",commitments (oda),11.81
2017,"Million USD, constant prices (2021)",commitments (oda),0.0
2018,"Million USD, constant prices (2021)",commitments (oda),0.0
2019,"Million USD, constant prices (2021)",commitments (oda),4.09
2020,"Million USD, constant prices (2021)",commitments (oda),32.3
2021,"Million USD, constant prices (2021)",commitments (oda),30.11
2010,Million EUR,gross disbursements (oda),0.0
2011,Million EUR,gross disbursements (oda),0.0
2012,Million EUR,gross disbursements (oda),0.0
2013,Million EUR,gross disbursements (oda),0.0
2014,Million EUR,gross disbursements (oda),0.0
2015,Million EUR,gross disbursements (oda),0.0
2016,Million EUR,gross disbursements (oda),9.0
2017,Million EUR,gross disbursements (oda),0.0
2018,Million EUR,gross disbursements (oda),0.0
2019,Million EUR,gross disbursements (oda),0.03
2020,Million EUR,gross disbursements (oda),24.75
2021,Million EUR,gross disbursements (oda),25.0
2010,"Million USD, constant prices (2021)",gross disbursements (oda),0.0
2011,"Million USD, constant prices (2021)",gross disbursements (oda),0.0
2012,"Million USD, constant prices (2021)",gross disbursements (oda),0.0
2013,"Million USD, constant prices (2021)",gross disbursements (oda),0.0
2014,"Million USD, constant prices (2021)",gross disbursements (oda),0.0
2015,"Million USD, constant prices (2021)",gross disbursements (oda),0.0
2016,"Million USD, constant prices (2021)",gross disbursements (oda),11.81
2017,"Million USD, constant prices (2021)",gross disbursements (oda),0.0
2018,"Million USD, constant prices (2021)",gross disbursements (oda),0.0
2019,"Million USD, constant prices (2021)",gross disbursements (oda),0.04
2020,"Million USD, constant prices (2021)",gross disbursements (oda),30.16
2021,"Million USD, constant prices (2021)",gross disbursements (oda),29.56
