Year,Units,Time series,Value
2010,Million EUR,commitments (oda and oof),1.9
2011,Million EUR,commitments (oda and oof),2.4
2012,Million EUR,commitments (oda and oof),3.1
2013,Million EUR,commitments (oda and oof),10.1
2014,Million EUR,commitments (oda and oof),0.1
2015,Million EUR,commitments (oda and oof),0.1
2016,Million EUR,commitments (oda and oof),0.1
2017,Million EUR,commitments (oda and oof),2.3
2018,Million EUR,commitments (oda and oof),0.1
2019,Million EUR,commitments (oda and oof),0.1
2020,Million EUR,commitments (oda and oof),2.0
2021,Million EUR,commitments (oda and oof),1.8
2010,Million EUR,gross disbursements (oda and oof),2.6
2011,Million EUR,gross disbursements (oda and oof),3.3
2012,Million EUR,gross disbursements (oda and oof),1.8
2013,Million EUR,gross disbursements (oda and oof),10.6
2014,Million EUR,gross disbursements (oda and oof),0.1
2015,Million EUR,gross disbursements (oda and oof),0.0
2016,Million EUR,gross disbursements (oda and oof),0.1
2017,Million EUR,gross disbursements (oda and oof),0.1
2018,Million EUR,gross disbursements (oda and oof),0.5
2019,Million EUR,gross disbursements (oda and oof),0.9
2020,Million EUR,gross disbursements (oda and oof),1.1
2021,Million EUR,gross disbursements (oda and oof),3.1
2010,"Million USD, constant prices (2021)",commitments (oda and oof),2.8
2011,"Million USD, constant prices (2021)",commitments (oda and oof),3.5
2012,"Million USD, constant prices (2021)",commitments (oda and oof),4.4
2013,"Million USD, constant prices (2021)",commitments (oda and oof),13.9
2014,"Million USD, constant prices (2021)",commitments (oda and oof),0.1
2015,"Million USD, constant prices (2021)",commitments (oda and oof),0.1
2016,"Million USD, constant prices (2021)",commitments (oda and oof),0.1
2017,"Million USD, constant prices (2021)",commitments (oda and oof),2.9
2018,"Million USD, constant prices (2021)",commitments (oda and oof),0.1
2019,"Million USD, constant prices (2021)",commitments (oda and oof),0.1
2020,"Million USD, constant prices (2021)",commitments (oda and oof),2.4
2021,"Million USD, constant prices (2021)",commitments (oda and oof),2.2
2010,"Million USD, constant prices (2021)",gross disbursements (oda and oof),3.8
2011,"Million USD, constant prices (2021)",gross disbursements (oda and oof),4.7
2012,"Million USD, constant prices (2021)",gross disbursements (oda and oof),2.5
2013,"Million USD, constant prices (2021)",gross disbursements (oda and oof),14.7
2014,"Million USD, constant prices (2021)",gross disbursements (oda and oof),0.1
2015,"Million USD, constant prices (2021)",gross disbursements (oda and oof),0.0
2016,"Million USD, constant prices (2021)",gross disbursements (oda and oof),0.1
2017,"Million USD, constant prices (2021)",gross disbursements (oda and oof),0.1
2018,"Million USD, constant prices (2021)",gross disbursements (oda and oof),0.7
2019,"Million USD, constant prices (2021)",gross disbursements (oda and oof),1.1
2020,"Million USD, constant prices (2021)",gross disbursements (oda and oof),1.4
2021,"Million USD, constant prices (2021)",gross disbursements (oda and oof),3.7
